"INSEE CONSOLIDE";"THESAURUS AVEC AJOUTS";"PCS";"PROPOSITIONS CORRECTIONS";;;
"responsable de site de traitement de déchets";"INEGENIEUR OU CADRE DE L'INDUSTRIE";"38D2";;;;
"responsable du conditionnement dans l'agroalimentaire";"INEGENIEUR OU CADRE DE L'INDUSTRIE";"38D2";;;;
"responsable du conditionnement dans l'industrie chimique";"INEGENIEUR OU CADRE DE L'INDUSTRIE";"38D2";;;;
"responsable du conditionnement dans l'industrie pharmaceutique";"INEGENIEUR OU CADRE DE L'INDUSTRIE";"38D2";;;;
"responsable énergie (production d'énergie)";"INEGENIEUR OU CADRE DE L'INDUSTRIE";"38D2";;;;
"aiguilleur du ciel";"CONTROLEUR AERIEN";"38E1";;;;
"cadre d'exploitation des transports";"CADRE DES TRANSPORTS";"38E1";;;;
"chef d'entrepôt (transport)";"CADRE DES TRANSPORTS";"38E1";;;;
"chef de centre, de dépôt, de garage";"CADRE DES TRANSPORTS";"38E1";;;;
"chef de gare";"CHEF DE GARE";"38E1";;;;
"chef de piste aéroportuaire";"CADRE DES TRANSPORTS";"38E1";;;;
"contrôleur aérien";"CONTROLEUR AERIEN";"38E1";;;;
"directeur d'agence de voyages";"CADRE DES TRANSPORTS";"38E1";;;;
"directeur de gare ferroviaire ou routière";"CADRE DES TRANSPORTS";"38E1";;;;
"directeur de gare routière";"CADRE DES TRANSPORTS";"38E1";;;;
"directeur de port";"CADRE DES TRANSPORTS";"38E1";;;;
"directeur des transports";"CADRE DES TRANSPORTS";"38E1";;;;
"directeur du fret";"CADRE DES TRANSPORTS";"38E1";;;;
"ingénieur dans le transport";"CADRE DES TRANSPORTS";"38E1";;;;
"ingénieur électronicien des systèmes de sécurité aérienne";"INGENIEUR ELECTRONICIEN";"38E1";;;;
"inspecteur de l'aviation civile";"CADRE DES TRANSPORTS";"38E1";;;;
"responsable d'exploitation d'installation portuaire";"CADRE DES TRANSPORTS";"38E1";;;;
"responsable d'exploitation des transports";"CADRE DES TRANSPORTS";"38E1";;;;
"responsable de gare";"CADRE DES TRANSPORTS";"38E1";;;;
"responsable de l'organisation des circulations ferroviaires";"CADRE DES TRANSPORTS";"38E1";;;;
"responsable du conditionnement";"CADRE DES TRANSPORTS";"38E1";;;;
"responsable expédition, distribution";"CADRE DES TRANSPORTS";"38E1";;;;
"responsable technique dans le transport";"CADRE DES TRANSPORTS";"38E1";;;;
"capitaine de bateau de plaisance";"OFFICIER DE LA MARINE MARCHANDE";"38E2";;;;
"capitaine de marine marchande";"OFFICIER DE LA MARINE MARCHANDE";"38E2";;;;
"capitaine de port";"OFFICIER DE PORT";"38E2";;;;
"capitaine de yacht";"OFFICIER DE LA MARINE MARCHANDE";"38E2";;;;
"chef de bord marine";"OFFICIER DE LA MARINE MARCHANDE";"38E2";;;;
"chef de cabine";"CADRE DES TRANSPORTS";"38E2";;;;
"chef mécanicien de la marine marchande";"OFFICIER DE LA MARINE MARCHANDE";"38E2";;;;
"chef mécanicien de yacht";"OFFICIER DE LA MARINE MARCHANDE";"38E2";;;;
"commandant de bord";"COMMANDANT DE BORD";"38E2";;;;
"commandant de la marine marchande";"OFFICIER DE LA MARINE MARCHANDE";"38E2";;;;
"commissaire de bord de la marine marchande";"COMMISSAIRE DE BORD DE LA MARINE MARCHANDE";"38E2";;;;
"contremaître de la marine marchande";"OFFICIER DE LA MARINE MARCHANDE";"38E2";;;;
"copilote de ligne";"PILOTE DE LIGNE";"38E2";;;;
"instructeur commandant de bord";"COMMANDANT DE BORD";"38E2";;;;
"instructeur de vol (avion de ligne, DGAC)";"CADRE DES TRANSPORTS";"38E2";;;;
"instructeur pilote d'avion ou d'hélicoptère";"CADRE DES TRANSPORTS";"38E2";;;;
"lieutenant (de quart, chef de quart, etc.)";"OFFICIER DE LA MARINE MARCHANDE";"38E2";;;;
"lieutenant de marine marchande";"OFFICIER DE LA MARINE MARCHANDE";"38E2";;;;
"maître d'équipage de la marine marchande";"OFFICIER DE LA MARINE MARCHANDE";"38E2";;;;
"officier de marine marchande";"OFFICIER DE LA MARINE MARCHANDE";"38E2";;;;
"officier mécanicien navigant";"MECANICIEN NAVIGANT";"38E2";;;;
"officier pilote de ligne (OPL)";"PILOTE DE LIGNE";"38E2";;;;
"pilote d'avion privé";"CADRE DES TRANSPORTS";"38E2";;;;
"pilote d'essai (avion de ligne)";"PILOTE DE LIGNE";"38E2";;;;
"pilote d'hélicoptère";"PILOTE D'HELICOPTERE";"38E2";;;;
"pilote de drône";"CADRE DES TRANSPORTS";"38E2";;;;
"pilote de ligne de l'aviation civile";"PILOTE DE LIGNE";"38E2";;;;
"pilote de port";"PILOTE DE PORT";"38E2";;;;
"pilote instructeur (avion de ligne)";"PILOTE DE LIGNE";"38E2";;;;
"pilote maritime";"OFFICIER DE LA MARINE MARCHANDE";"38E2";;;;
"second capitaine de la marine marchande";"OFFICIER DE LA MARINE MARCHANDE";"38E2";;;;
"télépilote";"CADRE DES TRANSPORTS";"38E2";;;;
"acheteur approvisionneur de l'industrie";"CADRE TECHNIQUE";"38F1";;;;
"acheteur approvisionneur du BTP";"CADRE TECHNIQUE";"38F1";;;;
"acheteur en sous-traitance";"CADRE TECHNIQUE";"38F1";;;;
"acheteur import du BTP et de l'industrie";"CADRE TECHNIQUE";"38F1";;;;
"acheteur industriel";"CADRE TECHNIQUE";"38F1";;;;
"acheteur international";"CADRE TECHNIQUE";"38F1";;;;
"acheteur matériaux de construction";"CADRE TECHNIQUE";"38F1";;;;
"acheteur matières premières";"CADRE TECHNIQUE";"38F1";;;;
"chef de groupe achats de l'industrie";"CADRE TECHNIQUE";"38F1";;;;
"chef de groupe achats du BTP";"CADRE TECHNIQUE";"38F1";;;;
"chef de service achats de l'industrie";"CADRE TECHNIQUE";"38F1";;;;
"chef de service achats du BTP";"CADRE TECHNIQUE";"38F1";;;;
"directeur des achats industriels";"CADRE TECHNIQUE";"38F1";;;;
"directeur des approvisionnements du BTP";"CADRE TECHNIQUE";"38F1";;;;
"directeur des approvisionnements industriels";"CADRE TECHNIQUE";"38F1";;;;
"ingénieur acheteur de l'industrie";"CADRE TECHNIQUE";"38F1";;;;
"ingénieur acheteur du BTP";"CADRE TECHNIQUE";"38F1";;;;
"responsable achats de l'industrie";"CADRE TECHNIQUE";"38F1";;;;
"responsable achats du BTP";"CADRE TECHNIQUE";"38F1";;;;
"responsable achats et approvisionnements de l'industrie";"CADRE TECHNIQUE";"38F1";;;;
"responsable achats et approvisionnements du BTP";"CADRE TECHNIQUE";"38F1";;;;
"responsable achats et logistique de l'industrie";"CADRE TECHNIQUE";"38F1";;;;
"responsable achats et logistique du BTP";"CADRE TECHNIQUE";"38F1";;;;
"responsable sourcing achats de l'industrie";"CADRE TECHNIQUE";"38F1";;;;
"responsable sourcing achats du BTP";"CADRE TECHNIQUE";"38F1";;;;
"sourceur acheteur de l'industrie";"CADRE TECHNIQUE";"38F1";;;;
"sourceur acheteur du BTP";"CADRE TECHNIQUE";"38F1";;;;
"cadre de méthodes";"CADRE TECHNIQUE";"38F2";;;;
"cadre logistique";"CADRE TECHNIQUE";"38F2";;;;
"cadre supply chain";"CADRE TECHNIQUE";"38F2";;;;
"chef d'exploitation d'usine d'incinération";"CADRE TECHNIQUE";"38F2";;;;
"chef d'exploitation de station d'épuration";"CADRE TECHNIQUE";"38F2";;;;
"chef de secteur collecte des déchets ménagers";"CADRE TECHNIQUE";"38F2";;;;
"chef de service logistique";"CADRE TECHNIQUE";"38F2";;;;
"chef de service méthodes";"CADRE TECHNIQUE";"38F2";;;;
"directeur de site logistique";"CADRE TECHNIQUE";"38F2";;;;
"ingénieur de méthodes";"INGENIEUR METHODE";"38F2";;;;
"ingénieur logistique";"CADRE TECHNIQUE";"38F2";;;;
"ingénieur mise en service";"CADRE TECHNIQUE";"38F2";;;;
"ingénieur supply chain";"CADRE TECHNIQUE";"38F2";;;;
"ingénieur traitement des déchets";"CADRE TECHNIQUE";"38F2";;;;
"responsable d'ordonnancement";"CADRE TECHNIQUE";"38F2";;;;
"responsable de l'approvisionnement industriel";"CADRE TECHNIQUE";"38F2";;;;
"responsable de méthodes";"CADRE TECHNIQUE";"38F2";;;;
"responsable de planification";"CADRE TECHNIQUE";"38F2";;;;
"responsable logistique";"CADRE TECHNIQUE";"38F2";;;;
"responsable supply chain";"CADRE TECHNIQUE";"38F2";;;;
"chef de laboratoire de contrôle";"CADRE TECHNIQUE";"38F3";;;;
"chef de projet contrôle qualité";"CADRE TECHNIQUE";"38F3";;;;
"chef de service contrôle qualité";"CADRE TECHNIQUE";"38F3";;;;
"chef de service de prévention";"CADRE TECHNIQUE";"38F3";;;;
"chef du service environnement (industrie)";"CADRE TECHNIQUE";"38F3";;;;
"coordonnateur SPS (Sécurité et Protection de la Santé)";"CADRE TECHNIQUE";"38F3";;;;
"gestionnaire des risques industriels";"CADRE TECHNIQUE";"38F3";;;;
"ingénieur de contrôle qualité";"CADRE TECHNIQUE";"38F3";;;;
"ingénieur de prévention";"CADRE TECHNIQUE";"38F3";;;;
"ingénieur de sécurité industrielle";"CADRE TECHNIQUE";"38F3";;;;
"ingénieur environnement (industrie)";"CADRE TECHNIQUE";"38F3";;;;
"ingénieur hygiène, sécurité et environnement";"CADRE TECHNIQUE";"38F3";;;;
"ingénieur motoriste";"CADRE TECHNIQUE";"38F3";;;;
"ingénieur prévention des risques industriels";"CADRE TECHNIQUE";"38F3";;;;
"ingénieur qualité";"CADRE TECHNIQUE";"38F3";;;;
"ingénieur sécurité environnement";"CADRE TECHNIQUE";"38F3";;;;
"manager de risques environnementaux";"CADRE TECHNIQUE";"38F3";;;;
"responsable assurance qualité";"CADRE TECHNIQUE";"38F3";;;;
"responsable contrôle qualité";"CADRE TECHNIQUE";"38F3";;;;
"responsable de la sécurité industrielle";"CADRE TECHNIQUE";"38F3";;;;
"responsable de prévention";"CADRE TECHNIQUE";"38F3";;;;
"responsable énergie (prévention des risques industriels et environnementaux)";"CADRE TECHNIQUE";"38F3";;;;
"responsable environnement (industrie)";"CADRE TECHNIQUE";"38F3";;;;
"responsable qualité";"CADRE TECHNIQUE";"38F3";;;;
"responsable qualité sécurité environnement (QSE)";"CADRE TECHNIQUE";"38F3";;;;
"chef de service de maintenance d'équipements de transport";"CADRE TECHNIQUE";"38F4";;;;
"chef de service maintenance industrielle";"CADRE TECHNIQUE";"38F4";;;;
"ingénieur de maintenance";"CADRE TECHNIQUE";"38F4";;;;
"ingénieur entretien industriel";"CADRE TECHNIQUE";"38F4";;;;
"responsable d'installation industrielle";"CADRE TECHNIQUE";"38F4";;;;
"responsable de maintenance industrielle";"CADRE TECHNIQUE";"38F4";;;;
"responsable entretien industriel";"CADRE TECHNIQUE";"38F4";;;;
"cadre commercial de l'industrie";"CADRE TECHNIQUE";"38F5";;;;
"cadre commercial du BTP";"CADRE TECHNIQUE";"38F5";;;;
"directeur d'agence BTP";"CADRE TECHNIQUE";"38F5";;;;
"directeur technico-commercial";"CADRE TECHNIQUE";"38F5";;;;
"ingénieur commercial";"INGENIEUR COMMERCIAL";"38F5";;;;
"ingénieur commercial grands comptes";"INGENIEUR COMMERCIAL";"38F5";;;;
"ingénieur contrats";"CADRE TECHNIQUE";"38F5";;;;
"ingénieur d'affaires";"CADRE TECHNIQUE";"38F5";;;;
"ingénieur de promotion des ventes";"CADRE TECHNIQUE";"38F5";;;;
"ingénieur technico-commercial";"INGENIEUR TECHNICO COMMERCIAL";"38F5";;;;
"responsable commercial de l'industrie";"CADRE TECHNIQUE";"38F5";;;;
"responsable commercial du BTP";"CADRE TECHNIQUE";"38F5";;;;
"ingénieur informatique";"CADRE INFORMATIQUE";"38G0";;;;
"architecte de systèmes d'information";"CADRE INFORMATIQUE";"38G1";;;;
"assistant chef de projet informatique";"CHEF DE PROJET INFORMATIQUE";"38G1";;;;
"assistant maîtrise d'ouvrage des systèmes d'information";"CHEF DE PROJET INFORMATIQUE";"38G1";;;;
"assistant maîtrise d'ouvrage informatique";"CHEF DE PROJET INFORMATIQUE";"38G1";;;;
"chargé de pilotage système d'information";"CADRE INFORMATIQUE";"38G1";;;;
"chef de produit informatique";"CHEF DE PROJET INFORMATIQUE";"38G1";;;;
"chef de produit logiciel";"CHEF DE PROJET INFORMATIQUE";"38G1";;;;
"chef de projet déploiement informatique";"CHEF DE PROJET INFORMATIQUE";"38G1";;;;
"chef de projet développement informatique";"CHEF DE PROJET INFORMATIQUE";"38G1";;;;
"chef de projet ERP";"CHEF DE PROJET INFORMATIQUE";"38G1";;;;
"chef de projet informatique";"CHEF DE PROJET INFORMATIQUE";"38G1";;;;
"chef de projet jeux vidéos";"CHEF DE PROJET INFORMATIQUE";"38G1";;;;
"chef de projet maîtrise d'ouvrage des systèmes d'informations (MOA)";"CHEF DE PROJET INFORMATIQUE";"38G1";;;;
"chef de projet maîtrise d'ouvrage informatique (MOA)";"CHEF DE PROJET INFORMATIQUE";"38G1";;;;
"chef de projet multimédia";"CHEF DE PROJET INFORMATIQUE";"38G1";;;;
"chef de projet télécom";"CHEF DE PROJET INFORMATIQUE";"38G1";;;;
"chef de projet utilisateurs des systèmes d'information";"CHEF DE PROJET INFORMATIQUE";"38G1";;;;
"chef de service de maintenance informatique";"CHEF DE PROJET INFORMATIQUE";"38G1";;;;
"chef de service informatique";"CHEF DE PROJET INFORMATIQUE";"38G1";;;;
"coach agile informatique";"CHEF DE PROJET INFORMATIQUE";"38G1";;;;
"coordonnateur du système d'information";"CADRE INFORMATIQUE";"38G1";;;;
"devops";"CADRE INFORMATIQUE";"38G1";;;;
"directeur cloud";"CADRE INFORMATIQUE";"38G1";;;;
"directeur de service informatique";"CADRE INFORMATIQUE";"38G1";;;;
"directeur des systèmes d'information (DSI)";"CADRE INFORMATIQUE";"38G1";;;;
"directeur technique en informatique";"CADRE INFORMATIQUE";"38G1";;;;
"directeur web";"CADRE INFORMATIQUE";"38G1";;;;
"lead developer";"CADRE INFORMATIQUE";"38G1";;;;
"manager d'équipe informatique";"CADRE INFORMATIQUE";"38G1";;;;
"product owner (informatique)";"CADRE INFORMATIQUE";"38G1";;;;
"project management officer (informatique)";"CADRE INFORMATIQUE";"38G1";;;;
"propriétaire de processus (process owner)";"CADRE INFORMATIQUE";"38G1";;;;
"responsable analyse programmation";"CADRE INFORMATIQUE";"38G1";;;;
"responsable de la sécurité des systèmes d'information (RSSI)";"CADRE INFORMATIQUE";"38G1";;;;
"responsable de plateau (assistance informatique)";"CADRE INFORMATIQUE";"38G1";;;;
"responsable de programme d'innovation numérique";"CADRE INFORMATIQUE";"38G1";;;;
"responsable de projet architecture télécoms";"CADRE INFORMATIQUE";"38G1";;;;
"responsable des études et applications informatiques";"CADRE INFORMATIQUE";"38G1";;;;
"responsable des études informatiques";"CADRE INFORMATIQUE";"38G1";;;;
"responsable informatique";"CADRE INFORMATIQUE";"38G1";;;;
"responsable sécurité informatique";"CADRE INFORMATIQUE";"38G1";;;;
"responsable service informatique";"CADRE INFORMATIQUE";"38G1";;;;
"responsable service télécom";"CADRE INFORMATIQUE";"38G1";;;;
"scrum master informatique";"CADRE INFORMATIQUE";"38G1";;;;
"software asset manager";"CADRE INFORMATIQUE";"38G1";;;;
"urbaniste des systèmes d'information";"CADRE INFORMATIQUE";"38G1";;;;
"analyste développeur";"ANALYSTE PROGRAMMEUR";"38G2";;;;
"analyste informatique";"ANALYSTE PROGRAMMEUR";"38G2";;;;
"analyste programmeur";"ANALYSTE PROGRAMMEUR";"38G2";;;;
"analyste test et validation informatique";"ANALYSTE PROGRAMMEUR";"38G2";;;;
"architecte de sites web";"CADRE INFORMATIQUE";"38G2";;;;
"chargé d'étude en système d'informations (SI)";"CADRE INFORMATIQUE";"38G2";;;;
"chargé d'étude informatique";"CADRE INFORMATIQUE";"38G2";;;;
"chargé d'étude logiciel";"CADRE INFORMATIQUE";"38G2";;;;
"chercheur informatique";"CADRE INFORMATIQUE";"38G2";;;;
"cogniticien";"CADRE INFORMATIQUE";"38G2";;;;
"data engineer";"CADRE INFORMATIQUE";"38G2";;;;
"débogueur";"PROGRAMMEUR";"38G2";;;;
"développeur back-end";"PROGRAMMEUR";"38G2";;;;
"développeur en informatique";"PROGRAMMEUR";"38G2";;;;
"développeur front-end";"PROGRAMMEUR";"38G2";;;;
"développeur full-stack";"PROGRAMMEUR";"38G2";;;;
"informaticien programmeur";"PROGRAMMEUR";"38G2";;;;
"ingénieur d'application informatique";"CADRE INFORMATIQUE";"38G2";;;;
"ingénieur d'études en informatique";"CADRE INFORMATIQUE";"38G2";;;;
"ingénieur développement informatique";"CADRE INFORMATIQUE";"38G2";;;;
"ingénieur développement logiciel";"CADRE INFORMATIQUE";"38G2";;;;
"ingénieur données";"CADRE INFORMATIQUE";"38G2";;;;
"ingénieur intégration de système";"CADRE INFORMATIQUE";"38G2";;;;
"ingénieur logiciel";"CADRE INFORMATIQUE";"38G2";;;;
"ingénieur recherche et développement (R&D) en informatique";"CADRE INFORMATIQUE";"38G2";;;;
"ingénieur test et validation informatique";"CADRE INFORMATIQUE";"38G2";;;;
"programmeur de jeux vidéos";"CADRE INFORMATIQUE";"38G2";;;;
"programmeur informatique";"CADRE INFORMATIQUE";"38G2";;;;
"software design specialist";"CADRE INFORMATIQUE";"38G2";;;;
"software designer";"CADRE INFORMATIQUE";"38G2";;;;
"administrateur base de données";"ADMINISTRATEUR DE BASE DE DONNEES";"38G3";;;;
"administrateur cloud";"CADRE INFORMATIQUE";"38G3";;;;
"administrateur datacenter";"CADRE INFORMATIQUE";"38G3";;;;
"administrateur informatique";"CADRE INFORMATIQUE";"38G3";;;;
"administrateur réseau de télécommunications";"ADMINISTRATEUR RESEAU";"38G3";;;;
"administrateur réseau informatique";"ADMINISTRATEUR RESEAU";"38G3";;;;
"administrateur sécurité informatique";"ADMINISTRATEUR SYSTEME";"38G3";;;;
"administrateur système informatique";"ADMINISTRATEUR SYSTEME";"38G3";;;;
"administrateur systèmes et réseaux";"ADMINISTRATEUR SYSTEME";"38G3";;;;
"analyste réseau";"ANALYSTE";"38G3";;;;
"auditeur informatique";"CADRE INFORMATIQUE";"38G3";;;;
"auditeur Sécurité des systèmes d'information (SSI)";"CADRE INFORMATIQUE";"38G3";;;;
"chef de groupe bureautique";"CADRE INFORMATIQUE";"38G3";;;;
"data manager";"CADRE INFORMATIQUE";"38G3";;;;
"data officer";"CADRE INFORMATIQUE";"38G3";;;;
"data steward";"CADRE INFORMATIQUE";"38G3";;;;
"database administrator";"CADRE INFORMATIQUE";"38G3";;;;
"infogérant";"CADRE INFORMATIQUE";"38G3";;;;
"ingénieur d'exploitation informatique";"CADRE INFORMATIQUE";"38G3";;;;
"ingénieur de sécurité informatique";"CADRE INFORMATIQUE";"38G3";;;;
"ingénieur des systèmes d'information et de communication";"CADRE INFORMATIQUE";"38G3";;;;
"ingénieur des télécommunications";"CADRE INFORMATIQUE";"38G3";;;;
"ingénieur radio";"CADRE INFORMATIQUE";"38G3";;;;
"ingénieur support informatique";"CADRE INFORMATIQUE";"38G3";;;;
"ingénieur système et réseaux informatiques";"INGENIEUR RESEAUX";"38G3";;;;
"responsable d'exploitation informatique";"CADRE INFORMATIQUE";"38G3";;;;
"responsable d'infocentre";"CADRE INFORMATIQUE";"38G3";;;;
"responsable des systèmes applicatifs";"CADRE INFORMATIQUE";"38G3";;;;
"superviseur informatique";"CADRE INFORMATIQUE";"38G3";;;;
"superviseur réseau";"CADRE INFORMATIQUE";"38G3";;;;
"conseiller pédagogique du 1er degré";"CONSEILLER PEDAGOGIQUE";"42A1";;;;
"directeur d'école maternelle";"DIRECTEUR D'ECOLE";"42A1";;;;
"directeur d'école primaire";"DIRECTEUR D'ECOLE";"42A1";;;;
"enseignant (instituteur)";"INSTITUTEUR";"42A1";;;;
"enseignant (professeur des écoles)";"PROFESSEUR DES ECOLES";"42A1";;;;
"enseignant spécialisé (professeur des écoles)";"PROFESSEUR DES ECOLES";"42A1";;;;
"instituteur";"INSTITUTEUR";"42A1";;;;
"instituteur spécialisé";"INSTITUTEUR";"42A1";;;;
"maître formateur du 1er degré";"PROFESSEUR DES ECOLES";"42A1";;;;
"professeur des écoles";"PROFESSEUR DES ECOLES";"42A1";;;;
"professeur des écoles (PE)";"PROFESSEUR DES ECOLES";"42A1";;;;
"professeur des écoles spécialisé";"PROFESSEUR DES ECOLES";"42A1";;;;
"chef de travaux en lycée professionnel";"ENSEIGNANT";"42A2";;;;
"enseignant d'arts appliqués en lycée professionnel";"ENSEIGNANT";"42A2";;;;
"enseignant en CFA (PLP)";"ENSEIGNANT";"42A2";;;;
"enseignant en lycée professionnel";"ENSEIGNANT";"42A2";;;;
"enseignant en lycée professionnel (PLP)";"ENSEIGNANT";"42A2";;;;
"enseignant spécialisé (PLP)";"ENSEIGNANT";"42A2";;;;
"enseignant titulaire CAFEP en lycée professionnel";"ENSEIGNANT";"42A2";;;;
"enseignant titulaire en lycée (voie professionnelle)";"ENSEIGNANT";"42A2";;;;
"maître agréé en lycée professionnel";"ENSEIGNANT";"42A2";;;;
"maître contractuel en lycée professionnel";"ENSEIGNANT";"42A2";;;;
"professeur d'arts appliqués en lycée professionnel";"ENSEIGNANT";"42A2";;;;
"professeur d'enseignement général de collège (PEGC)";"ENSEIGNANT";"42A2";;;;
"professeur de lycée professionnel (PLP)";"ENSEIGNANT";"42A2";;;;
"professeur de lycée professionnel agricole";"ENSEIGNANT";"42A2";;;;
"professeur des écoles en Segpa";"ENSEIGNANT";"42A2";;;;
"professeur en CFA (PLP)";"ENSEIGNANT";"42A2";;;;
"professeur titulaire CAFEP en lycée professionnel";"ENSEIGNANT";"42A2";;;;
"professeur titulaire en lycée (voie professionnelle)";"ENSEIGNANT";"42A2";;;;
"adjoint d'enseignement en école, collège ou lycée";"ENSEIGNANT";"42A3";;;;
"adjoint d'enseignement en lycée professionnel";"ENSEIGNANT";"42A3";;;;
"assistant de langue en école, collège ou lycée";"ENSEIGNANT";"42A3";;;;
"assistant étranger en école, collège ou lycée";"ENSEIGNANT";"42A3";;;;
"chargé d'enseignement en lycée professionnel";"ENSEIGNANT";"42A3";;;;
"directeur d'école privée hors contrat";"ENSEIGNANT";"42A3";;;;
"éducateur Montessori";"ENSEIGNANT";"42A3";;;;
"enseignant contractuel en collège";"ENSEIGNANT";"42A3";;;;
"enseignant contractuel en école maternelle";"ENSEIGNANT";"42A3";;;;
"enseignant contractuel en école primaire";"ENSEIGNANT";"42A3";;;;
"enseignant contractuel en lycée";"ENSEIGNANT";"42A3";;;;
"enseignant délégué auxiliaire en collège privé";"ENSEIGNANT";"42A3";;;;
"enseignant délégué auxiliaire en école privé";"ENSEIGNANT";"42A3";;;;
"enseignant délégué auxiliaire en lycée privé";"ENSEIGNANT";"42A3";;;;
"enseignant en collège privé hors contrat";"ENSEIGNANT";"42A3";;;;
"enseignant en école privée hors contrat";"ENSEIGNANT";"42A3";;;;
"enseignant en lycée privé hors contrat";"ENSEIGNANT";"42A3";;;;
"enseignant spécialisé (non titulaire)";"ENSEIGNANT";"42A3";;;;
"enseignant vacataire en collège";"ENSEIGNANT";"42A3";;;;
"enseignant vacataire en lycée";"ENSEIGNANT";"42A3";;;;
"formateur en centre de formation pour apprentis (CFA)";"ENSEIGNANT";"42A3";;;;
"instituteur spécialisé (non titulaire)";"ENSEIGNANT";"42A3";;;;
"intervenant extérieur en collège";"ENSEIGNANT";"42A3";;;;
"intervenant extérieur en école maternelle";"ENSEIGNANT";"42A3";;;;
"intervenant extérieur en école primaire";"ENSEIGNANT";"42A3";;;;
"intervenant extérieur en lycée";"ENSEIGNANT";"42A3";;;;
"lecteur de langue en collège";"ENSEIGNANT";"42A3";;;;
"lecteur de langue en lycée";"ENSEIGNANT";"42A3";;;;
"maître auxiliaire en école, collège ou lycée";"MAITRE AUXILIAIRE";"42A3";;;;
"moniteur d'enseignement agricole";"ENSEIGNANT";"42A3";;;;
"moniteur de centre de formation pour apprentis (CFA)";"ENSEIGNANT";"42A3";;;;
"professeur contractuel en collège";"ENSEIGNANT";"42A3";;;;
"professeur contractuel en école maternelle";"ENSEIGNANT";"42A3";;;;
"professeur contractuel en école primaire";"ENSEIGNANT";"42A3";;;;
"professeur contractuel en lycée";"ENSEIGNANT";"42A3";;;;
"professeur des écoles (non titulaire)";"ENSEIGNANT";"42A3";;;;
"professeur des écoles spécialisé (non titulaire)";"ENSEIGNANT";"42A3";;;;
"professeur en collège privé hors contrat";"ENSEIGNANT";"42A3";;;;
"professeur en école privée hors contrat";"ENSEIGNANT";"42A3";;;;
"professeur en lycée privé hors contrat";"ENSEIGNANT";"42A3";;;;
"professeur vacataire en collège";"ENSEIGNANT";"42A3";;;;
"professeur vacataire en lycée";"ENSEIGNANT";"42A3";;;;
"enseignant à domicile";"ENSEIGNANT";"42A4";;;;
"enseignant en cours particuliers";"ENSEIGNANT";"42A4";;;;
"enseignant en soutien scolaire";"ENSEIGNANT";"42A4";;;;
"précepteur";"ENSEIGNANT";"42A4";;;;
"professeur à domicile";"ENSEIGNANT";"42A4";;;;
"professeur en cours particuliers";"ENSEIGNANT";"42A4";;;;
"professeur en soutien scolaire";"ENSEIGNANT";"42A4";;;;
"conseiller principal d'éducation (CPE)";"CONSEILLER PRINCIPAL D'EDUCATION";"42B1";;;;
"responsable de vie scolaire (CPE)";"CONSEILLER PRINCIPAL D'EDUCATION";"42B1";;;;
"surveillant général";"CONSEILLER PRINCIPAL D'EDUCATION";"42B1";;;;
"accompagnateur à la scolarité";"ASSISTANT D'EDUCATION";"42B2";;;;
"agent de médiation scolaire";"ASSISTANT D'EDUCATION";"42B2";;;;
"aide éducateur";"ASSISTANT D'EDUCATION";"42B2";;;;
"animateur de l'Éducation nationale";"ASSISTANT D'EDUCATION";"42B2";;;;
"animateur scolaire";"ASSISTANT D'EDUCATION";"42B2";;;;
"assistant d'éducation (AED)";"ASSISTANT D'EDUCATION";"42B2";;;;
"cadre éducatif de l'enseignement privé";"ASSISTANT D'EDUCATION";"42B2";;;;
"éducateur de vie scolaire (EVS)";"ASSISTANT D'EDUCATION";"42B2";;;;
"maître d'externat";"SURVEILLANT D'ETABLISSEMENT SCOLAIRE";"42B2";;;;
"maître d'internat";"MAITRE D'INTERNAT";"42B2";;;;
"médiateur scolaire";"SURVEILLANT D'ETABLISSEMENT SCOLAIRE";"42B2";;;;
"surveillant d'externat";"SURVEILLANT D'ETABLISSEMENT SCOLAIRE";"42B2";;;;
"surveillant d'internat";"SURVEILLANT D'ETABLISSEMENT SCOLAIRE";"42B2";;;;
"surveillant de l’Éducation nationale";"SURVEILLANT DE L'EDUCATION NATIONALE";"42B2";;;;
"surveillant en milieu scolaire (école, collège, lycée)";"SURVEILLANT D'ETABLISSEMENT SCOLAIRE";"42B2";;;;
"directeur d'auto-école";"MONITEUR D'AUTO ECOLE";"42C1";;;;
"directeur d'école de conduite";"MONITEUR D'AUTO ECOLE";"42C1";;;;
"inspecteur de permis de conduire";"INSPECTEUR DU PERMIS DE CONDUIRE";"42C1";;;;
"moniteur d'auto-école";"MONITEUR D'AUTO ECOLE";"42C1";;;;
"moniteur d'école de conduite";"MONITEUR D'AUTO ECOLE";"42C1";;;;
"moniteur poids lourds";"MONITEUR D'AUTO ECOLE";"42C1";;;;
"ambassadeur du livre";"BIBLIOTHECAIRE";"42C2";;;;
"animateur de bibliothèque";"BIBLIOTHECAIRE";"42C2";;;;
"animateur de formation";"CONSEILLER EN FORMATION";"42C2";;;;
"animateur du patrimoine";"PROFESSIONNEL DE LA CULTURE OU DU PATRIMOINE";"42C2";;;;
"animateur scientifique";"PROFESSIONNEL DE LA CULTURE OU DU PATRIMOINE";"42C2";;;;
